entrance_id,rank,stop_id,walk_dist_m,weight_logit,weight_inv,reachable
1,1,30,124.5,0.2256,0.2318,True
1,2,48,164.3,0.1924,0.1756,True
1,3,38,204.0,0.1641,0.1414,True
1,4,22,258.9,0.1318,0.1114,True
1,5,29,275.3,0.1234,0.1048,True
1,6,39,459.8,0.059,0.0627,True
1,7,44,588.1,0.0353,0.0491,True
1,8,5,631.7,0.0297,0.0457,True
1,9,6,655.3,0.027,0.044,True
1,10,42,864.9,0.0117,0.0334,True
2,1,33,244.5,0.186,0.16,True
2,2,9,254.1,0.179,0.1539,True
2,3,50,329.5,0.1324,0.1187,True
2,4,51,414.9,0.0941,0.0943,True
2,5,8,419.7,0.0923,0.0932,True
2,6,7,433.2,0.0874,0.0903,True
2,7,11,478.9,0.0728,0.0817,True
2,8,49,497.5,0.0676,0.0786,True
2,9,13,576.4,0.0493,0.0678,True
2,10,36,634.5,0.0391,0.0616,True
3,1,9,146.5,0.2259,0.2217,True
3,2,50,221.8,0.1671,0.1464,True
3,3,33,244.1,0.1528,0.133,True
3,4,51,307.2,0.1187,0.1057,True
3,5,11,371.3,0.0919,0.0874,True
3,6,8,434.2,0.0714,0.0748,True
3,7,7,447.8,0.0677,0.0725,True
3,8,13,577.0,0.0403,0.0563,True
3,9,49,632.8,0.0323,0.0513,True
3,10,36,635.6,0.0319,0.0511,True
4,1,9,173.9,0.2162,0.2008,True
4,2,50,249.3,0.1599,0.1401,True
4,3,33,271.6,0.1463,0.1286,True
4,4,51,334.7,0.1136,0.1043,True
4,5,11,398.8,0.0879,0.0876,True
4,6,8,403.6,0.0862,0.0865,True
4,7,7,417.2,0.0817,0.0837,True
4,8,49,602.2,0.039,0.058,True
4,9,13,604.5,0.0386,0.0578,True
4,10,36,663.0,0.0306,0.0527,True
5,1,9,202.2,0.2065,0.1839,True
5,2,50,277.6,0.1527,0.1339,True
5,3,33,299.9,0.1397,0.124,True
5,4,51,363.0,0.1085,0.1024,True
5,5,8,380.7,0.1011,0.0977,True
5,6,7,394.2,0.0958,0.0943,True
5,7,11,427.1,0.084,0.0871,True
5,8,49,579.3,0.0457,0.0642,True
5,9,13,632.8,0.0369,0.0588,True
5,10,36,691.3,0.0292,0.0538,True
6,1,9,224.3,0.1959,0.1712,True
6,2,50,299.6,0.1449,0.1282,True
6,3,33,321.9,0.1325,0.1193,True
6,4,8,352.5,0.1173,0.109,True
6,5,7,366.0,0.1111,0.1049,True
6,6,51,385.1,0.103,0.0997,True
6,7,11,449.1,0.0797,0.0855,True
6,8,49,551.1,0.053,0.0697,True
6,9,13,654.9,0.035,0.0586,True
6,10,36,713.4,0.0277,0.0538,True
7,1,9,288.4,0.1672,0.1431,True
7,2,8,312.2,0.152,0.1322,True
7,3,7,325.7,0.144,0.1267,True
7,4,50,346.3,0.1326,0.1192,True
7,5,33,373.4,0.119,0.1105,True
7,6,51,431.7,0.0942,0.0956,True
7,7,11,495.9,0.0729,0.0832,True
7,8,49,553.6,0.0579,0.0745,True
7,9,13,689.5,0.0336,0.0598,True
7,10,36,747.6,0.0266,0.0552,True
8,1,9,308.2,0.1672,0.1408,True
8,2,8,332.0,0.152,0.1308,True
8,3,7,345.6,0.144,0.1256,True
8,4,50,366.2,0.1326,0.1186,True
8,5,33,393.3,0.119,0.1104,True
8,6,51,451.6,0.0942,0.0961,True
8,7,11,515.8,0.0729,0.0842,True
8,8,49,573.5,0.0579,0.0757,True
8,9,13,709.3,0.0336,0.0612,True
8,10,36,767.4,0.0266,0.0566,True
9,1,9,325.8,0.1672,0.1391,True
9,2,8,349.6,0.152,0.1296,True
9,3,7,363.1,0.144,0.1248,True
9,4,50,383.7,0.1326,0.1181,True
9,5,33,410.8,0.119,0.1103,True
9,6,51,469.1,0.0942,0.0966,True
9,7,11,533.4,0.0729,0.0849,True
9,8,49,591.0,0.0579,0.0767,True
9,9,13,726.9,0.0336,0.0623,True
9,10,36,785.0,0.0266,0.0577,True
10,1,32,144.0,0.2188,0.2199,True
10,2,12,216.4,0.1638,0.1463,True
10,3,11,284.3,0.1248,0.1114,True
10,4,51,291.2,0.1214,0.1087,True
10,5,50,398.3,0.0791,0.0795,True
10,6,37,417.6,0.0732,0.0758,True
10,7,24,424.0,0.0714,0.0747,True
10,8,9,491.9,0.0544,0.0644,True
10,9,34,508.7,0.0509,0.0623,True
10,10,8,555.9,0.0421,0.057,True
11,1,47,225.4,0.2192,0.1827,True
11,2,23,272.3,0.1817,0.1512,True
11,3,49,327.3,0.1458,0.1258,True
11,4,40,404.8,0.107,0.1017,True
11,5,13,413.5,0.1033,0.0996,True
11,6,36,438.1,0.0936,0.094,True
11,7,26,539.9,0.0623,0.0763,True
11,8,19,675.2,0.0363,0.061,True
11,9,33,740.4,0.0279,0.0556,True
11,10,8,790.3,0.0229,0.0521,True
12,1,47,259.8,0.2075,0.1676,True
12,2,49,291.9,0.1825,0.1493,True
12,3,23,306.7,0.172,0.142,True
12,4,40,439.2,0.1013,0.0992,True
12,5,13,447.9,0.0978,0.0973,True
12,6,36,472.5,0.0886,0.0922,True
12,7,26,574.3,0.059,0.0758,True
12,8,19,709.6,0.0343,0.0614,True
12,9,8,754.8,0.0286,0.0577,True
12,10,7,757.7,0.0283,0.0575,True
13,1,49,258.6,0.2225,0.1748,True
13,2,47,294.5,0.1927,0.1535,True
13,3,23,341.3,0.1598,0.1324,True
13,4,40,473.8,0.094,0.0954,True
13,5,13,482.5,0.0908,0.0937,True
13,6,36,507.2,0.0823,0.0891,True
13,7,26,608.9,0.0548,0.0742,True
13,8,8,721.6,0.0349,0.0626,True
13,9,7,724.4,0.0345,0.0624,True
13,10,33,731.0,0.0336,0.0618,True
14,1,49,225.7,0.2501,0.1975,True
14,2,47,328.1,0.166,0.1359,True
14,3,23,374.9,0.1377,0.1189,True
14,4,13,449.8,0.102,0.0991,True
14,5,36,493.5,0.0857,0.0903,True
14,6,40,507.4,0.081,0.0878,True
14,7,26,576.2,0.0615,0.0774,True
14,8,8,688.6,0.0393,0.0647,True
14,9,7,691.5,0.0388,0.0645,True
14,10,33,698.2,0.0378,0.0638,True
15,1,21,246.9,0.2531,0.1913,True
15,2,28,274.6,0.2266,0.1721,True
15,3,16,339.0,0.1752,0.1394,True
15,4,17,377.7,0.15,0.1251,True
15,5,6,688.9,0.0432,0.0686,True
15,6,5,711.7,0.0394,0.0664,True
15,7,22,768.1,0.0315,0.0615,True
15,8,29,790.4,0.0288,0.0598,True
15,9,27,804.1,0.0273,0.0588,True
15,10,10,826.5,0.0249,0.0572,True
16,1,51,207.6,0.1807,0.1655,True
16,2,50,215.3,0.1752,0.1596,True
16,3,8,321.8,0.1144,0.1068,True
16,4,9,332.5,0.1096,0.1033,True
16,5,11,340.6,0.1061,0.1009,True
16,6,7,413.1,0.0794,0.0832,True
16,7,32,417.5,0.078,0.0823,True
16,8,33,437.9,0.0719,0.0785,True
16,9,12,489.9,0.0584,0.0702,True
16,10,37,691.1,0.0261,0.0497,True
17,1,5,234.9,0.2936,0.2088,True
17,2,6,244.3,0.2827,0.2008,True
17,3,48,542.5,0.0858,0.0904,True
17,4,30,623.5,0.062,0.0787,True
17,5,16,667.9,0.0519,0.0734,True
