entrance_id,rank,stop_id,walk_dist_m,weight_logit,weight_inv,reachable
43,1,9,76.0,0.4114,0.5024,True
43,2,34,123.9,0.3397,0.3083,True
43,3,51,201.7,0.2488,0.1893,True
44,1,9,61.2,0.4269,0.5678,True
44,2,34,156.4,0.2917,0.2221,True
44,3,51,165.4,0.2814,0.2101,True
45,1,9,46.2,0.4348,0.6167,True
45,2,51,121.7,0.3214,0.2341,True
45,3,34,190.8,0.2438,0.1493,True
46,1,9,65.7,0.4034,0.5016,True
46,2,51,102.1,0.3487,0.3227,True
46,3,52,187.5,0.2478,0.1757,True
47,1,51,82.7,0.3703,0.406,True
47,2,9,85.1,0.3666,0.3943,True
47,3,52,168.1,0.2631,0.1997,True
48,1,51,134.7,0.3881,0.4165,True
48,2,9,170.6,0.3361,0.3287,True
48,3,52,220.1,0.2758,0.2548,True
49,1,51,180.8,0.3843,0.3934,True
49,2,9,209.5,0.3426,0.3395,True
49,3,52,266.2,0.2731,0.2672,True
50,1,51,196.7,0.3843,0.3891,True
50,2,9,225.4,0.3426,0.3396,True
50,3,52,282.1,0.2731,0.2713,True
51,1,51,223.1,0.3836,0.3826,True
51,2,9,250.6,0.3437,0.3407,True
51,3,52,308.5,0.2726,0.2767,True
52,1,51,84.9,0.4009,0.4701,True
52,2,52,120.1,0.3482,0.3324,True
52,3,9,202.1,0.2509,0.1975,True
53,1,34,251.9,0.3928,0.3854,True
53,2,9,297.4,0.3275,0.3264,True
53,3,13,336.8,0.2797,0.2882,True
54,1,34,312.4,0.3885,0.3733,True
54,2,9,358.2,0.3235,0.3256,True
54,3,13,387.3,0.288,0.3011,True
55,1,34,286.0,0.3928,0.3797,True
55,2,9,331.5,0.3275,0.3276,True
55,3,13,370.9,0.2797,0.2927,True
56,1,34,335.8,0.3885,0.3707,True
56,2,9,381.5,0.3235,0.3262,True
56,3,13,410.6,0.288,0.3031,True
57,1,34,305.3,0.3928,0.377,True
57,2,9,350.8,0.3275,0.3281,True
57,3,13,390.3,0.2797,0.2949,True
58,1,34,313.8,0.3928,0.3759,True
58,2,9,359.3,0.3275,0.3283,True
58,3,13,398.8,0.2797,0.2958,True
59,1,34,332.0,0.3928,0.3737,True
59,2,9,377.5,0.3275,0.3287,True
59,3,13,416.9,0.2797,0.2976,True
60,1,34,346.1,0.3924,0.3719,True
60,2,9,391.6,0.3271,0.3287,True
60,3,13,430.0,0.2805,0.2994,True
61,1,34,247.0,0.4193,0.405,True
61,2,9,291.2,0.3513,0.3435,True
61,3,51,397.8,0.2294,0.2515,True
62,1,34,267.9,0.4181,0.3995,True
62,2,9,312.1,0.3504,0.343,True
62,3,50,415.8,0.2315,0.2575,True
63,1,34,288.8,0.4008,0.3845,True
63,2,9,333.0,0.3358,0.3335,True
63,3,50,393.8,0.2634,0.282,True
64,1,34,310.4,0.3819,0.3692,True
64,2,9,354.6,0.32,0.3231,True
64,3,50,372.3,0.2981,0.3077,True
65,1,52,213.0,0.3784,0.3783,True
65,2,51,224.9,0.3608,0.3583,True
65,3,11,306.1,0.2608,0.2633,True
66,1,52,272.0,0.3634,0.3589,True
66,2,51,283.9,0.3465,0.3438,True
