fid,X,Y,Адрес_clean,Адрес,Численность жителей,Жилая площадь,Население округл,Население норм.,field_9
60,30.50671502,59.89835045,"Центральная улица, 50","Всеволожский р-н, Кудрово г, Центральная ул, 50",390,"14187,9",520,"519,7032967","14187,9"
61,30.50671502,59.89835045,"Центральная улица, 50","обл. Ленинградская, р-н. Всеволожский, д. Кудрово, ул. Центральная, д. д50",,"7947,7",291,"291,1245421","7947,7"
62,30.50729718,59.89732592,"Центральная улица, 52 к1","Всеволожский р-н, Кудрово г, Центральная ул, 52 к. 1",283,"10219,4",374,"374,3369963","10219,4"
63,30.50854552,59.89649366,"Центральная улица, 54 к1","Всеволожский р-н, Кудрово г, Центральная ул, 54 к. 1",344,"14068,8",515,"515,3406593","14068,8"
64,30.50860275,59.89833219,"Центральная улица, 50 к1",,230,"13865,5",508,"507,8937729","13865,5"
65,30.50961394,59.90153851,"Венская улица, 5","Всеволожский р-н, Кудрово г, Венская ул, 5",615,"22964",841,"841,1721612","22964"
66,30.50786327,59.90175017,"Венская улица, 3","Всеволожский р-н, Кудрово г, Венская ул, 3",131,"6936,9",254,"254,0989011","6936,9"
67,30.51344997,59.90306178,"Европейский проспект, 14 к1","Всеволожский р-н, Кудрово г, Европейский пр-кт, 14 к. 1",298,"12225,5",448,"447,8205128","12225,5"
68,30.51535145,59.90318782,"Европейский проспект, 14 к2","Всеволожский р-н, Кудрово г, Европейский пр-кт, 14 к. 2",548,"23013",843,"842,967033","23013"
69,30.5091319,59.89753152,"Центральная улица, 52 к3","Всеволожский р-н, Кудрово г, Центральная ул, 52 к. 3",189,"5445",199,"199,4505495","5445"
70,30.50821217,59.89742959,"Центральная улица, 52 к2","Всеволожский р-н, Кудрово г, Центральная ул, 52 к. 2",252,"7875,6",288,"288,4835165","7875,6"
71,30.50886943,59.90257435,"Австрийская улица, 4 к2","Всеволожский р-н, Кудрово г, Австрийская ул, 4 к. 2",344,"17167,52",629,"628,8468864","17167,52"
72,30.50861338,59.90010974,"Венская улица, 4 к3","Всеволожский р-н, Кудрово г, Венская ул, 4 к. 3",120,"6617,4",242,"242,3956044","6617,4"
73,30.51367139,59.90400464,"Европейский проспект, 14 к3","Всеволожский р-н, Кудрово г, Европейский пр-кт, 14 к. 3",435,"14873,5",545,"544,8168498","14873,5"
74,30.51370488,59.90478354,"Европейский проспект, 14 к4","Всеволожский р-н, Кудрово г, Европейский пр-кт, 14 к. 4",435,"14768,2",541,"540,959707","14768,2"
75,30.51394011,59.90773751,"Пражская улица, 7","Всеволожский р-н, Кудрово г, Пражская ул, 7",,"14899,45",546,"545,7673993","14899,45"
76,30.51501573,59.9086715,"Европейский проспект, 16","Всеволожский р-н, Кудрово г, Европейский пр-кт, 16",53,"13572,1",497,"497,1465201","13572,1"
77,30.51608286,59.90167398,"Столичная улица, 6 к3","Всеволожский р-н, Кудрово г, Столичная ул, 6 к. 3",291,"9390,7",344,"343,981685","9390,7"
78,30.5152237,59.90088626,"Столичная улица, 6 к1","Всеволожский р-н, Кудрово г, Столичная ул, 6 к. 1",305,"9112,9",334,"333,8058608","9112,9"
79,30.51564515,59.90127763,"Столичная улица, 6 к2","Всеволожский р-н, Кудрово г, Столичная ул, 6 к. 2",306,"9413",345,"344,7985348","9413"
80,30.51828013,59.89827798,"Столичная улица, 5 к2","Всеволожский р-н, Кудрово г, Столичная ул, 5 к. 2",464,"18938,1",694,"693,7032967","18938,1"
81,30.51593916,59.89821503,"Столичная улица, 5","Всеволожский р-н, Кудрово г, Столичная ул, 5",335,"13240,8",485,"485,010989","13240,8"
82,30.51710656,59.89818672,"Столичная улица, 5 к1","Всеволожский р-н, Кудрово г, Столичная ул, 5 к. 1",351,"13947,4",511,"510,8937729","13947,4"
83,30.51644175,59.90721451,"Пражская улица, 9","Всеволожский р-н, Кудрово г, Пражская ул, 9",908,"30805,8",1128,"1128,417582","30805,8"
84,30.52071,59.90620953,"Пражская улица, 13","Всеволожский р-н, Кудрово г, Пражская ул, 13",720,"21438,3",785,"785,2857143","21438,3"
85,30.52103446,59.90142359,"проспект Строителей, 18",,261,"9793,8",359,"358,7472527","9793,8"
86,30.51873655,59.91550434,"Ленинградская улица, 9/8",,1217,"66767,7",2446,"2445,703297","66767,7"
87,30.51228593,59.90756211,"Европейский проспект, 15","Всеволожский р-н, Кудрово г, Европейский пр-кт, 15",168,"5847,8",214,"214,2051282","5847,8"
